Sender,Receiver,data,time,price,Sender_division,Receiver_division,data_usage
Susie,Patience,data_243,20181110,1784000,sookmyung,sangmyung,commercial
Maud,Hermine,data_449,20181206,1643000,sookmyung,sangmyung,commercial
Mae,Hessie,data_585,20181129,1685000,sookmyung,sangmyung,commercial
Etta,Ivah,data_490,20181208,1477000,sookmyung,sangmyung,commercial
Emily,Janette,data_522,20181118,1121000,sookmyung,sangmyung,commercial
Sadie,Jennette,data_618,20181107,1569000,sookmyung,sangmyung,commercial
Caroline,Joella,data_795,20181115,1284000,sookmyung,sangmyung,commercial
Katie,Kathryne,data_921,20181112,1334000,sookmyung,sangmyung,commercial
Lydia,Emily,data_109,20181102,1399000,sookmyung,sangmyung,commercial
Elsie,Lanie,data_120,20181024,1348000,sookmyung,sangmyung,commercial
Kate,Emily,data_863,20181122,1338000,sookmyung,sangmyung,commercial
Susan,Leana,data_955,20181208,1164000,sookmyung,sangmyung,commercial
Mollie,Leatha,data_146,20181210,1297000,sookmyung,sangmyung,commercial
Alma,Leo,data_80,20181125,1938000,sookmyung,sangmyung,commercial
Addie,Liller,data_556,20181116,1468000,sookmyung,sangmyung,commercial
Georgia,Lillis,data_835,20181211,1965000,sookmyung,sangmyung,commercial
Eliza,Louetta,data_314,20181014,1861000,sookmyung,sangmyung,commercial
Lulu,Emily,data_13,20181011,1590000,sookmyung,sangmyung,commercial
Nannie,Mai,data_195,20181112,1885000,sookmyung,sangmyung,commercial
Lottie,Emily,data_399,20181101,1922000,sookmyung,sangmyung,commercial
Amanda,Maryann,data_113,20181129,1437000,sookmyung,sangmyung,commercial
Belle,Melva,data_249,20181030,1877000,sookmyung,sangmyung,commercial
Charlotte,Emily,data_964,20181205,1565000,sookmyung,sangmyung,commercial
Rebecca,Mercedes,data_334,20181128,1202000,sookmyung,sangmyung,commercial
Emily,Merle,data_754,20181115,1659000,sookmyung,sangmyung,commercial
Viola,Mima,data_432,20181112,1367000,sookmyung,sangmyung,commercial
Emily,Minda,data_853,20181123,1588000,sookmyung,sangmyung,commercial
Amelia,Monica,data_277,20181201,1091000,sookmyung,sangmyung,commercial
Emily,Nealie,data_123,20181107,1355000,sookmyung,sangmyung,commercial
Jane,Netta,data_418,20181020,1712000,sookmyung,sangmyung,commercial
Virginia,Nolia,data_214,20181118,1402000,sookmyung,sangmyung,commercial
Emily,Nonie,data_633,20181101,1016000,sookmyung,sangmyung,commercial
Mary,Emily,data_336,20181114,1749000,sookmyung,sangmyung,commercial
Anna,Muriel,data_190,20181026,1709000,sookmyung,sangmyung,commercial
Emma,Neppie,data_513,20181024,1891000,sookmyung,sangmyung,commercial
Elizabeth,Olie,data_798,20181030,1828000,sookmyung,sangmyung,commercial
Minnie,Onie,data_336,20181113,1796000,sookmyung,sangmyung,commercial
Margaret,Osa,data_402,20181124,1904000,sookmyung,sangmyung,commercial
Ella,Otelia,data_163,20181115,1545000,sookmyung,sangmyung,commercial
Alice,Paralee,data_730,20181108,1508000,sookmyung,sangmyung,commercial
Ella,Patience,data_2,20181209,1423000,sookmyung,sangmyung,commercial
Sarah,Rella,data_47,20181017,1055000,sookmyung,sangmyung,commercial
Annie,Rillie,data_912,20181203,1402000,sookmyung,sangmyung,commercial
Clara,Rosanna,data_804,20181129,1669000,sookmyung,sangmyung,commercial
Ella,Theo,data_698,20181031,1871000,sookmyung,sangmyung,commercial
Anna,Tilda,data_207,20181129,1608000,sookmyung,sangmyung,commercial
Cora,Patience,data_351,20181013,1431000,sookmyung,sangmyung,commercial
Martha,Flora,data_1000,20181128,1523000,sookmyung,sangmyung,commercial
Laura,Viva,data_77,20181012,1569000,sookmyung,sangmyung,commercial
Anna,Yetta,data_338,20181015,1870000,sookmyung,sangmyung,commercial
Grace,Cora,data_447,20181112,1506000,sookmyung,sangmyung,commercial
Carrie,Zola,data_313,20181014,1088000,sookmyung,sangmyung,commercial
Cora,Osa,data_325,20181114,1839000,sookmyung,sangmyung,commercial
Anna,Flora,data_336,20181118,1930000,sookmyung,sangmyung,commercial
Laura,Alba,data_325,20181111,1806000,sookmyung,sangmyung,commercial
Laura,Alda,data_871,20181105,1776000,sookmyung,sangmyung,commercial
Anna,Alla,data_336,20181120,1154000,sookmyung,sangmyung,commercial
Julia,Alverta,data_390,20181106,1751000,sookmyung,sangmyung,commercial
Anna,Flora,data_246,20181124,1291000,sookmyung,sangmyung,commercial
Anna,Ardelia,data_562,20181102,1613000,sookmyung,sangmyung,commercial
Cora,Ardella,data_766,20181206,1864000,sookmyung,sangmyung,commercial
Ella,Arrie,data_342,20181106,1426000,sookmyung,sangmyung,commercial
Cora,Arvilla,data_336,20181111,1118000,sookmyung,sangmyung,commercial
Lillian,Augustine,data_292,20181023,1668000,sookmyung,sangmyung,commercial
Ada,Aurora,data_336,20181105,1104000,sookmyung,sangmyung,commercial
Lillie,Bama,data_925,20181011,1621000,sookmyung,sangmyung,commercial
Laura,Cora,data_663,20181102,1108000,sookmyung,sangmyung,commercial
Jessie,Byrd,data_360,20181031,1727000,sookmyung,sangmyung,commercial
Cora,Calla,data_336,20181025,1460000,sookmyung,sangmyung,commercial
Ella,Camilla,data_27,20181109,1492000,sookmyung,sangmyung,commercial
Lula,Carey,data_186,20181127,1938000,sookmyung,sangmyung,commercial
Ella,Carlotta,data_295,20181025,1393000,sookmyung,sangmyung,commercial
Eva,Celestia,data_336,20181201,1915000,sookmyung,sangmyung,commercial
Ella,Cherry,data_450,20181119,1296000,sookmyung,sangmyung,commercial
Lena,Flora,data_550,20181207,1655000,sookmyung,sangmyung,commercial
Lucy,Classie,data_372,20181024,1676000,sookmyung,sangmyung,commercial
Ella,Claudine,data_1,20181111,1646000,sookmyung,sangmyung,commercial
Maggie,Clemie,data_536,20181027,1198000,sookmyung,sangmyung,commercial
Pearl,Flora,data_582,20181108,1720000,sookmyung,sangmyung,commercial
Daisy,Clyda,data_128,20181025,1871000,sookmyung,sangmyung,commercial
Fannie,Emily,data_176,20181110,1577000,sookmyung,sangmyung,commercial
Josephine,Flora,data_635,20181012,1159000,sookmyung,sangmyung,commercial
Emily,Dee,data_179,20181209,1776000,sookmyung,sangmyung,commercial
Ella,Dinah,data_336,20181119,1196000,sookmyung,sangmyung,commercial
Katherine,Flora,data_771,20181126,1710000,sookmyung,sangmyung,commercial
Agnes,Ednah,data_317,20181108,1232000,sookmyung,sangmyung,commercial
Marie,Edyth,data_124,20181022,1751000,sookmyung,sangmyung,commercial
Nora,Eleanora,data_859,20181026,1388000,sookmyung,sangmyung,commercial
May,Electa,data_917,20181104,1362000,sookmyung,sangmyung,commercial
Mamie,Flora,data_547,20181210,1210000,sookmyung,sangmyung,commercial
Blanche,Erie,data_6,20181211,1371000,sookmyung,sangmyung,commercial
Stella,Eudora,data_44,20181019,1284000,sookmyung,sangmyung,commercial
Ella,Euphemia,data_375,20181110,1331000,sookmyung,sangmyung,commercial
Nancy,Flora,data_549,20181101,1304000,sookmyung,sangmyung,commercial
Effie,Evaline,data_518,20181208,1933000,sookmyung,sangmyung,commercial
Sallie,Faith,data_353,20181207,1139000,sookmyung,sangmyung,commercial
Nettie,Fidelia,data_811,20181111,1007000,sookmyung,sangmyung,commercial
Flora,Freddie,data_267,20181012,1786000,sookmyung,sangmyung,commercial
Flora,Golda,data_440,20181210,1027000,sookmyung,sangmyung,commercial
Flora,Harry,data_243,20181130,1091000,sookmyung,sangmyung,commercial
Susie,Patience,data_243,20181110,1784000,sookmyung,sangmyung,commercial
Maud,Hermine,data_449,20181206,1643000,sookmyung,sangmyung,commercial
Mae,Hessie,data_585,20181129,1685000,sookmyung,sangmyung,commercial
Etta,Ivah,data_490,20181208,1477000,sookmyung,sangmyung,commercial
Emily,Janette,data_522,20181118,1121000,sookmyung,sangmyung,commercial
Sadie,Jennette,data_618,20181107,1569000,sookmyung,sangmyung,commercial
Caroline,Joella,data_795,20181115,1284000,sookmyung,sangmyung,commercial
Katie,Kathryne,data_921,20181112,1334000,sookmyung,sangmyung,commercial
Lydia,Emily,data_109,20181102,1399000,sookmyung,sangmyung,commercial
Elsie,Lanie,data_120,20181024,1348000,sookmyung,sangmyung,commercial
Kate,Emily,data_863,20181122,1338000,sookmyung,sangmyung,commercial
Susan,Leana,data_955,20181208,1164000,sookmyung,sangmyung,commercial
Mollie,Leatha,data_146,20181210,1297000,sookmyung,sangmyung,commercial
Alma,Leo,data_80,20181125,1938000,sookmyung,sangmyung,commercial
Addie,Liller,data_556,20181116,1468000,sookmyung,sangmyung,commercial
Georgia,Lillis,data_835,20181211,1965000,sookmyung,sangmyung,commercial
Eliza,Louetta,data_314,20181014,1861000,sookmyung,sangmyung,commercial
Lulu,Emily,data_13,20181011,1590000,sookmyung,sangmyung,commercial
Nannie,Mai,data_195,20181112,1885000,sookmyung,sangmyung,commercial
Lottie,Emily,data_399,20181101,1922000,sookmyung,sangmyung,commercial
Amanda,Maryann,data_113,20181129,1437000,sookmyung,sangmyung,commercial
Belle,Melva,data_249,20181030,1877000,sookmyung,sangmyung,commercial
Charlotte,Emily,data_964,20181205,1565000,sookmyung,sangmyung,commercial
Rebecca,Mercedes,data_334,20181128,1202000,sookmyung,sangmyung,commercial
Emily,Merle,data_754,20181115,1659000,sookmyung,sangmyung,commercial
Viola,Mima,data_432,20181112,1367000,sookmyung,sangmyung,commercial
Emily,Minda,data_853,20181123,1588000,sookmyung,sangmyung,commercial
Amelia,Monica,data_277,20181201,1091000,sookmyung,sangmyung,commercial
Emily,Nealie,data_123,20181107,1355000,sookmyung,sangmyung,commercial
Jane,Netta,data_418,20181020,1712000,sookmyung,sangmyung,commercial
Virginia,Nolia,data_214,20181118,1402000,sookmyung,sangmyung,commercial
Emily,Nonie,data_633,20181101,1016000,sookmyung,sangmyung,commercial
Mary,Emily,data_336,20181114,1749000,sookmyung,sangmyung,commercial
Anna,Muriel,data_190,20181026,1709000,sookmyung,sangmyung,commercial
Emma,Neppie,data_513,20181024,1891000,sookmyung,sangmyung,commercial
Elizabeth,Olie,data_798,20181030,1828000,sookmyung,sangmyung,commercial
Minnie,Onie,data_336,20181113,1796000,sookmyung,sangmyung,commercial
Margaret,Osa,data_402,20181124,1904000,sookmyung,sangmyung,commercial
Ella,Otelia,data_163,20181115,1545000,sookmyung,sangmyung,commercial
Alice,Paralee,data_730,20181108,1508000,sookmyung,sangmyung,commercial
Ella,Patience,data_2,20181209,1423000,sookmyung,sangmyung,commercial
Sarah,Rella,data_47,20181017,1055000,sookmyung,sangmyung,commercial
Annie,Rillie,data_912,20181203,1402000,sookmyung,sangmyung,commercial
Clara,Rosanna,data_804,20181129,1669000,sookmyung,sangmyung,commercial
Ella,Theo,data_698,20181031,1871000,sookmyung,sangmyung,commercial
Anna,Tilda,data_207,20181129,1608000,sookmyung,sangmyung,commercial
Cora,Patience,data_351,20181013,1431000,sookmyung,sangmyung,commercial
Martha,Flora,data_1000,20181128,1523000,sookmyung,sangmyung,commercial
Laura,Viva,data_77,20181012,1569000,sookmyung,sangmyung,commercial
Anna,Yetta,data_338,20181015,1870000,sookmyung,sangmyung,commercial
Grace,Cora,data_447,20181112,1506000,sookmyung,sangmyung,commercial
Carrie,Zola,data_313,20181014,1088000,sookmyung,sangmyung,commercial
Cora,Osa,data_325,20181114,1839000,sookmyung,sangmyung,commercial
Anna,Flora,data_336,20181118,1930000,sookmyung,sangmyung,commercial
Laura,Alba,data_325,20181111,1806000,sookmyung,sangmyung,commercial
Laura,Alda,data_871,20181105,1776000,sookmyung,sangmyung,commercial
Anna,Alla,data_336,20181120,1154000,sookmyung,sangmyung,commercial
Julia,Alverta,data_390,20181106,1751000,sookmyung,sangmyung,commercial
Anna,Flora,data_246,20181124,1291000,sookmyung,sangmyung,commercial
Anna,Ardelia,data_562,20181102,1613000,sookmyung,sangmyung,commercial
Cora,Ardella,data_766,20181206,1864000,sookmyung,sangmyung,commercial
Ella,Arrie,data_342,20181106,1426000,sookmyung,sangmyung,commercial
Cora,Arvilla,data_336,20181111,1118000,sookmyung,sangmyung,commercial
Lillian,Augustine,data_292,20181023,1668000,sookmyung,sangmyung,commercial
Ada,Aurora,data_336,20181105,1104000,sookmyung,sangmyung,commercial
Lillie,Bama,data_925,20181011,1621000,sookmyung,sangmyung,commercial
Laura,Cora,data_663,20181102,1108000,sookmyung,sangmyung,commercial
Jessie,Byrd,data_360,20181031,1727000,sookmyung,sangmyung,commercial
Cora,Calla,data_336,20181025,1460000,sookmyung,sangmyung,commercial
Ella,Camilla,data_27,20181109,1492000,sookmyung,sangmyung,commercial
Lula,Carey,data_186,20181127,1938000,sookmyung,sangmyung,commercial
Ella,Carlotta,data_295,20181025,1393000,sookmyung,sangmyung,commercial
Eva,Celestia,data_336,20181201,1915000,sookmyung,sangmyung,commercial
Ella,Cherry,data_450,20181119,1296000,sookmyung,sangmyung,commercial
Lena,Flora,data_550,20181207,1655000,sookmyung,sangmyung,commercial
Lucy,Classie,data_372,20181024,1676000,sookmyung,sangmyung,commercial
Ella,Claudine,data_1,20181111,1646000,sookmyung,sangmyung,commercial
Maggie,Clemie,data_536,20181027,1198000,sookmyung,sangmyung,commercial
Pearl,Flora,data_582,20181108,1720000,sookmyung,sangmyung,commercial
Daisy,Clyda,data_128,20181025,1871000,sookmyung,sangmyung,commercial
Fannie,Emily,data_176,20181110,1577000,sookmyung,sangmyung,commercial
Josephine,Flora,data_635,20181012,1159000,sookmyung,sangmyung,commercial
Emily,Dee,data_179,20181209,1776000,sookmyung,sangmyung,commercial
Ella,Dinah,data_336,20181119,1196000,sookmyung,sangmyung,commercial
Katherine,Flora,data_771,20181126,1710000,sookmyung,sangmyung,commercial
Agnes,Ednah,data_317,20181108,1232000,sookmyung,sangmyung,commercial
Marie,Edyth,data_124,20181022,1751000,sookmyung,sangmyung,commercial
Nora,Eleanora,data_859,20181026,1388000,sookmyung,sangmyung,commercial
May,Electa,data_917,20181104,1362000,sookmyung,sangmyung,commercial
Mamie,Flora,data_547,20181210,1210000,sookmyung,sangmyung,commercial
Blanche,Erie,data_6,20181211,1371000,sookmyung,sangmyung,commercial
Stella,Eudora,data_44,20181019,1284000,sookmyung,sangmyung,commercial
Ella,Euphemia,data_375,20181110,1331000,sookmyung,sangmyung,commercial
Nancy,Flora,data_549,20181101,1304000,sookmyung,sangmyung,commercial
Effie,Evaline,data_518,20181208,1933000,sookmyung,sangmyung,commercial
Sallie,Faith,data_353,20181207,1139000,sookmyung,sangmyung,commercial
Nettie,Fidelia,data_811,20181111,1007000,sookmyung,sangmyung,commercial
Flora,Freddie,data_267,20181012,1786000,sookmyung,sangmyung,commercial
Flora,Golda,data_440,20181210,1027000,sookmyung,sangmyung,commercial
Flora,Harry,data_243,20181130,1091000,sookmyung,sangmyung,commercial
Susie,Patience,data_243,20181110,1784000,sookmyung,sangmyung,commercial
Maud,Hermine,data_449,20181206,1643000,sookmyung,sangmyung,commercial
Mae,Hessie,data_585,20181129,1685000,sookmyung,sangmyung,commercial
Etta,Ivah,data_490,20181208,1477000,sookmyung,sangmyung,commercial
Emily,Janette,data_522,20181118,1121000,sookmyung,sangmyung,commercial
Sadie,Jennette,data_618,20181107,1569000,sookmyung,sangmyung,commercial
Caroline,Joella,data_795,20181115,1284000,sookmyung,sangmyung,commercial
Katie,Kathryne,data_921,20181112,1334000,sookmyung,sangmyung,commercial
Lydia,Emily,data_109,20181102,1399000,sookmyung,sangmyung,commercial
Elsie,Lanie,data_120,20181024,1348000,sookmyung,sangmyung,commercial
Kate,Emily,data_863,20181122,1338000,sookmyung,sangmyung,commercial
Susan,Leana,data_955,20181208,1164000,sookmyung,sangmyung,commercial
Mollie,Leatha,data_146,20181210,1297000,sookmyung,sangmyung,commercial
Alma,Leo,data_80,20181125,1938000,sookmyung,sangmyung,commercial
Addie,Liller,data_556,20181116,1468000,sookmyung,sangmyung,commercial
Georgia,Lillis,data_835,20181211,1965000,sookmyung,sangmyung,commercial
Eliza,Louetta,data_314,20181014,1861000,sookmyung,sangmyung,commercial
Lulu,Emily,data_13,20181011,1590000,sookmyung,sangmyung,commercial
Nannie,Mai,data_195,20181112,1885000,sookmyung,sangmyung,commercial
Lottie,Emily,data_399,20181101,1922000,sookmyung,sangmyung,commercial
Amanda,Maryann,data_113,20181129,1437000,sookmyung,sangmyung,commercial
Belle,Melva,data_249,20181030,1877000,sookmyung,sangmyung,commercial
Charlotte,Emily,data_964,20181205,1565000,sookmyung,sangmyung,commercial
Rebecca,Mercedes,data_334,20181128,1202000,sookmyung,sangmyung,commercial
Emily,Merle,data_754,20181115,1659000,sookmyung,sangmyung,commercial
Viola,Mima,data_432,20181112,1367000,sookmyung,sangmyung,commercial
Emily,Minda,data_853,20181123,1588000,sookmyung,sangmyung,commercial
Amelia,Monica,data_277,20181201,1091000,sookmyung,sangmyung,commercial
Emily,Nealie,data_123,20181107,1355000,sookmyung,sangmyung,commercial
Jane,Netta,data_418,20181020,1712000,sookmyung,sangmyung,commercial
Virginia,Nolia,data_214,20181118,1402000,sookmyung,sangmyung,commercial
Emily,Nonie,data_633,20181101,1016000,sookmyung,sangmyung,commercial
Mary,Emily,data_336,20181114,1749000,sookmyung,sangmyung,commercial
Anna,Muriel,data_190,20181026,1709000,sookmyung,sangmyung,commercial
Emma,Neppie,data_513,20181024,1891000,sookmyung,sangmyung,commercial
Elizabeth,Olie,data_798,20181030,1828000,sookmyung,sangmyung,commercial
Minnie,Onie,data_336,20181113,1796000,sookmyung,sangmyung,commercial
Margaret,Osa,data_402,20181124,1904000,sookmyung,sangmyung,commercial
Ella,Otelia,data_163,20181115,1545000,sookmyung,sangmyung,commercial
Alice,Paralee,data_730,20181108,1508000,sookmyung,sangmyung,commercial
Ella,Patience,data_2,20181209,1423000,sookmyung,sangmyung,commercial
Sarah,Rella,data_47,20181017,1055000,sookmyung,sangmyung,commercial
Annie,Rillie,data_912,20181203,1402000,sookmyung,sangmyung,commercial
Clara,Rosanna,data_804,20181129,1669000,sookmyung,sangmyung,commercial
Ella,Theo,data_698,20181031,1871000,sookmyung,sangmyung,commercial
Anna,Tilda,data_207,20181129,1608000,sookmyung,sangmyung,commercial
Cora,Patience,data_351,20181013,1431000,sookmyung,sangmyung,commercial
Martha,Flora,data_1000,20181128,1523000,sookmyung,sangmyung,commercial
Laura,Viva,data_77,20181012,1569000,sookmyung,sangmyung,commercial
Anna,Yetta,data_338,20181015,1870000,sookmyung,sangmyung,commercial
Grace,Cora,data_447,20181112,1506000,sookmyung,sangmyung,commercial
Carrie,Zola,data_313,20181014,1088000,sookmyung,sangmyung,commercial
Cora,Osa,data_325,20181114,1839000,sookmyung,sangmyung,commercial
Anna,Flora,data_336,20181118,1930000,sookmyung,sangmyung,commercial
Laura,Alba,data_325,20181111,1806000,sookmyung,sangmyung,commercial
Laura,Alda,data_871,20181105,1776000,sookmyung,sangmyung,commercial
Anna,Alla,data_336,20181120,1154000,sookmyung,sangmyung,commercial
Julia,Alverta,data_390,20181106,1751000,sookmyung,sangmyung,commercial
Anna,Flora,data_246,20181124,1291000,sookmyung,sangmyung,commercial
Anna,Ardelia,data_562,20181102,1613000,sookmyung,sangmyung,commercial
Cora,Ardella,data_766,20181206,1864000,sookmyung,sangmyung,commercial
Ella,Arrie,data_342,20181106,1426000,sookmyung,sangmyung,commercial
Cora,Arvilla,data_336,20181111,1118000,sookmyung,sangmyung,commercial
Lillian,Augustine,data_292,20181023,1668000,sookmyung,sangmyung,commercial
Ada,Aurora,data_336,20181105,1104000,sookmyung,sangmyung,commercial
Lillie,Bama,data_925,20181011,1621000,sookmyung,sangmyung,commercial
Laura,Cora,data_663,20181102,1108000,sookmyung,sangmyung,commercial
Jessie,Byrd,data_360,20181031,1727000,sookmyung,sangmyung,commercial
Cora,Calla,data_336,20181025,1460000,sookmyung,sangmyung,commercial
Ella,Camilla,data_27,20181109,1492000,sookmyung,sangmyung,commercial
Lula,Carey,data_186,20181127,1938000,sookmyung,sangmyung,commercial
Ella,Carlotta,data_295,20181025,1393000,sookmyung,sangmyung,commercial
Eva,Celestia,data_336,20181201,1915000,sookmyung,sangmyung,commercial
Ella,Cherry,data_450,20181119,1296000,sookmyung,sangmyung,commercial
Lena,Flora,data_550,20181207,1655000,sookmyung,sangmyung,commercial
Lucy,Classie,data_372,20181024,1676000,sookmyung,sangmyung,commercial
Ella,Claudine,data_1,20181111,1646000,sookmyung,sangmyung,commercial
Maggie,Clemie,data_536,20181027,1198000,sookmyung,sangmyung,commercial
Pearl,Flora,data_582,20181108,1720000,sookmyung,sangmyung,commercial
Daisy,Clyda,data_128,20181025,1871000,sookmyung,sangmyung,commercial
Fannie,Emily,data_176,20181110,1577000,sookmyung,sangmyung,commercial
Josephine,Flora,data_635,20181012,1159000,sookmyung,sangmyung,commercial
Emily,Dee,data_179,20181209,1776000,sookmyung,sangmyung,commercial
Ella,Dinah,data_336,20181119,1196000,sookmyung,sangmyung,commercial
Katherine,Flora,data_771,20181126,1710000,sookmyung,sangmyung,commercial
Agnes,Ednah,data_317,20181108,1232000,sookmyung,sangmyung,commercial
Marie,Edyth,data_124,20181022,1751000,sookmyung,sangmyung,commercial
Nora,Eleanora,data_859,20181026,1388000,sookmyung,sangmyung,commercial
May,Electa,data_917,20181104,1362000,sookmyung,sangmyung,commercial
Mamie,Flora,data_547,20181210,1210000,sookmyung,sangmyung,commercial
Blanche,Erie,data_6,20181211,1371000,sookmyung,sangmyung,commercial
Stella,Eudora,data_44,20181019,1284000,sookmyung,sangmyung,commercial
Ella,Euphemia,data_375,20181110,1331000,sookmyung,sangmyung,commercial
Nancy,Flora,data_549,20181101,1304000,sookmyung,sangmyung,commercial
Effie,Evaline,data_518,20181208,1933000,sookmyung,sangmyung,commercial
Sallie,Faith,data_353,20181207,1139000,sookmyung,sangmyung,commercial
Nettie,Fidelia,data_811,20181111,1007000,sookmyung,sangmyung,commercial
Flora,Freddie,data_267,20181012,1786000,sookmyung,sangmyung,commercial
Flora,Golda,data_440,20181210,1027000,sookmyung,sangmyung,commercial
Flora,Harry,data_243,20181130,1091000,sookmyung,sangmyung,commercial
Susie,Patience,data_243,20181110,1784000,sookmyung,sangmyung,commercial
Maud,Hermine,data_449,20181206,1643000,sookmyung,sangmyung,commercial
Mae,Hessie,data_585,20181129,1685000,sookmyung,sangmyung,commercial
Etta,Ivah,data_490,20181208,1477000,sookmyung,sangmyung,commercial
Emily,Janette,data_522,20181118,1121000,sookmyung,sangmyung,commercial
Sadie,Jennette,data_618,20181107,1569000,sookmyung,sangmyung,commercial
Caroline,Joella,data_795,20181115,1284000,sookmyung,sangmyung,commercial
Katie,Kathryne,data_921,20181112,1334000,sookmyung,sangmyung,commercial
Lydia,Emily,data_109,20181102,1399000,sookmyung,sangmyung,commercial
Elsie,Lanie,data_120,20181024,1348000,sookmyung,sangmyung,commercial
Kate,Emily,data_863,20181122,1338000,sookmyung,sangmyung,commercial
Susan,Leana,data_955,20181208,1164000,sookmyung,sangmyung,commercial
Mollie,Leatha,data_146,20181210,1297000,sookmyung,sangmyung,commercial
Alma,Leo,data_80,20181125,1938000,sookmyung,sangmyung,commercial
Addie,Liller,data_556,20181116,1468000,sookmyung,sangmyung,commercial
Georgia,Lillis,data_835,20181211,1965000,sookmyung,sangmyung,commercial
Eliza,Louetta,data_314,20181014,1861000,sookmyung,sangmyung,commercial
Lulu,Emily,data_13,20181011,1590000,sookmyung,sangmyung,commercial
Nannie,Mai,data_195,20181112,1885000,sookmyung,sangmyung,commercial
Lottie,Emily,data_399,20181101,1922000,sookmyung,sangmyung,commercial
Amanda,Maryann,data_113,20181129,1437000,sookmyung,sangmyung,commercial
Belle,Melva,data_249,20181030,1877000,sookmyung,sangmyung,commercial
Charlotte,Emily,data_964,20181205,1565000,sookmyung,sangmyung,commercial
Rebecca,Mercedes,data_334,20181128,1202000,sookmyung,sangmyung,commercial
Emily,Merle,data_754,20181115,1659000,sookmyung,sangmyung,commercial
Viola,Mima,data_432,20181112,1367000,sookmyung,sangmyung,commercial
Emily,Minda,data_853,20181123,1588000,sookmyung,sangmyung,commercial
Amelia,Monica,data_277,20181201,1091000,sookmyung,sangmyung,commercial
Emily,Nealie,data_123,20181107,1355000,sookmyung,sangmyung,commercial
Jane,Netta,data_418,20181020,1712000,sookmyung,sangmyung,commercial
Virginia,Nolia,data_214,20181118,1402000,sookmyung,sangmyung,commercial
Emily,Nonie,data_633,20181101,1016000,sookmyung,sangmyung,commercial
Mary,Emily,data_336,20181114,1749000,sookmyung,sangmyung,commercial
Anna,Muriel,data_190,20181026,1709000,sookmyung,sangmyung,commercial
Emma,Neppie,data_513,20181024,1891000,sookmyung,sangmyung,commercial
Elizabeth,Olie,data_798,20181030,1828000,sookmyung,sangmyung,commercial
Minnie,Onie,data_336,20181113,1796000,sookmyung,sangmyung,commercial
Margaret,Osa,data_402,20181124,1904000,sookmyung,sangmyung,commercial
Ella,Otelia,data_163,20181115,1545000,sookmyung,sangmyung,commercial
Alice,Paralee,data_730,20181108,1508000,sookmyung,sangmyung,commercial
Ella,Patience,data_2,20181209,1423000,sookmyung,sangmyung,commercial
Sarah,Rella,data_47,20181017,1055000,sookmyung,sangmyung,commercial
Annie,Rillie,data_912,20181203,1402000,sookmyung,sangmyung,commercial
Clara,Rosanna,data_804,20181129,1669000,sookmyung,sangmyung,commercial
Ella,Theo,data_698,20181031,1871000,sookmyung,sangmyung,commercial
Anna,Tilda,data_207,20181129,1608000,sookmyung,sangmyung,commercial
Cora,Patience,data_351,20181013,1431000,sookmyung,sangmyung,commercial
Martha,Flora,data_1000,20181128,1523000,sookmyung,sangmyung,commercial
Laura,Viva,data_77,20181012,1569000,sookmyung,sangmyung,commercial
Anna,Yetta,data_338,20181015,1870000,sookmyung,sangmyung,commercial
Grace,Cora,data_447,20181112,1506000,sookmyung,sangmyung,commercial
Carrie,Zola,data_313,20181014,1088000,sookmyung,sangmyung,commercial
Cora,Osa,data_325,20181114,1839000,sookmyung,sangmyung,commercial
Anna,Flora,data_336,20181118,1930000,sookmyung,sangmyung,commercial
Laura,Alba,data_325,20181111,1806000,sookmyung,sangmyung,commercial
Laura,Alda,data_871,20181105,1776000,sookmyung,sangmyung,commercial
Anna,Alla,data_336,20181120,1154000,sookmyung,sangmyung,commercial
Julia,Alverta,data_390,20181106,1751000,sookmyung,sangmyung,commercial
Anna,Flora,data_246,20181124,1291000,sookmyung,sangmyung,commercial
Anna,Ardelia,data_562,20181102,1613000,sookmyung,sangmyung,commercial
Cora,Ardella,data_766,20181206,1864000,sookmyung,sangmyung,commercial
Ella,Arrie,data_342,20181106,1426000,sookmyung,sangmyung,commercial
Cora,Arvilla,data_336,20181111,1118000,sookmyung,sangmyung,commercial
Lillian,Augustine,data_292,20181023,1668000,sookmyung,sangmyung,commercial
Ada,Aurora,data_336,20181105,1104000,sookmyung,sangmyung,commercial
Lillie,Bama,data_925,20181011,1621000,sookmyung,sangmyung,commercial
Laura,Cora,data_663,20181102,1108000,sookmyung,sangmyung,commercial
Jessie,Byrd,data_360,20181031,1727000,sookmyung,sangmyung,commercial
Cora,Calla,data_336,20181025,1460000,sookmyung,sangmyung,commercial
Ella,Camilla,data_27,20181109,1492000,sookmyung,sangmyung,commercial
Lula,Carey,data_186,20181127,1938000,sookmyung,sangmyung,commercial
Ella,Carlotta,data_295,20181025,1393000,sookmyung,sangmyung,commercial
Eva,Celestia,data_336,20181201,1915000,sookmyung,sangmyung,commercial
Ella,Cherry,data_450,20181119,1296000,sookmyung,sangmyung,commercial
Lena,Flora,data_550,20181207,1655000,sookmyung,sangmyung,commercial
Lucy,Classie,data_372,20181024,1676000,sookmyung,sangmyung,commercial
Ella,Claudine,data_1,20181111,1646000,sookmyung,sangmyung,commercial
Maggie,Clemie,data_536,20181027,1198000,sookmyung,sangmyung,commercial
